paper,screening,patch,C,M,Y,K,L_t,a_t,b_t,L_m,a_m,b_m,de00
teksturirani papir 300 g,600 dot,165,81.0,72.0,0.0,25.0,26.0,65.0,1.0,22.0,4.0,5.0,4.64
teksturirani papir 300 g,600 dot,166,81.0,100.0,0.0,25.0,21.0,65.0,12.0,18.0,97.0,13.0,2.14
teksturirani papir 300 g,600 dot,167,100.0,0.0,0.0,25.0,39.0,40.0,-32.0,47.0,76.0,-35.0,8.29
teksturirani papir 300 g,600 dot,168,100.0,31.0,0.0,25.0,33.0,58.0,-20.0,32.0,39.0,-18.0,1.7
teksturirani papir 300 g,600 dot,169,100.0,72.0,0.0,25.0,25.0,30.0,-4.0,19.0,62.0,1.0,7.2
teksturirani papir 300 g,600 dot,170,100.0,100.0,0.0,25.0,19.0,80.0,5.0,16.0,64.0,8.0,4.42
teksturirani papir 300 g,600 dot,171,0.0,0.0,31.0,25.0,64.0,88.0,-0.0,71.0,38.0,-1.0,6.92
teksturirani papir 300 g,600 dot,172,0.0,31.0,31.0,25.0,55.0,57.0,9.0,49.0,85.0,11.0,5.98
teksturirani papir 300 g,600 dot,173,0.0,72.0,31.0,25.0,42.0,84.0,29.0,37.0,14.0,34.0,5.98
teksturirani papir 300 g,600 dot,174,0.0,100.0,31.0,25.0,34.0,61.0,44.0,36.0,66.0,49.0,4.98
teksturirani papir 300 g,600 dot,175,21.0,0.0,31.0,25.0,57.0,84.0,-6.0,57.0,40.0,-2.0,6.0
teksturirani papir 300 g,600 dot,176,21.0,31.0,31.0,25.0,46.0,89.0,4.0,39.0,51.0,1.0,8.27
teksturirani papir 300 g,600 dot,177,21.0,72.0,31.0,25.0,37.0,7.0,21.0,26.0,24.0,22.0,8.62
teksturirani papir 300 g,600 dot,178,21.0,100.0,31.0,25.0,30.0,65.0,35.0,25.0,30.0,31.0,4.34
teksturirani papir 300 g,600 dot,179,52.0,0.0,31.0,25.0,49.0,75.0,-16.0,45.0,83.0,-21.0,5.11
teksturirani papir 300 g,600 dot,180,52.0,31.0,31.0,25.0,38.0,73.0,-4.0,32.0,63.0,-3.0,5.37
teksturirani papir 300 g,600 dot,181,52.0,72.0,31.0,25.0,28.0,40.0,11.0,22.0,53.0,14.0,5.25
teksturirani papir 300 g,600 dot,182,52.0,100.0,31.0,25.0,23.0,41.0,21.0,19.0,36.0,21.0,3.05
teksturirani papir 300 g,600 dot,183,81.0,0.0,31.0,25.0,41.0,95.0,-27.0,38.0,74.0,-30.0,4.29
teksturirani papir 300 g,600 dot,184,81.0,31.0,31.0,25.0,32.0,58.0,-15.0,24.0,56.0,-12.0,6.39
teksturirani papir 300 g,600 dot,185,81.0,72.0,31.0,25.0,23.0,89.0,0.0,14.0,84.0,3.0,7.6
teksturirani papir 300 g,600 dot,186,81.0,100.0,31.0,25.0,19.0,23.0,8.0,13.0,32.0,9.0,4.1
teksturirani papir 300 g,600 dot,187,100.0,0.0,31.0,25.0,38.0,45.0,-34.0,43.0,84.0,-46.0,10.49
teksturirani papir 300 g,600 dot,188,100.0,31.0,31.0,25.0,30.0,19.0,-22.0,26.0,3.0,-17.0,4.21
teksturirani papir 300 g,600 dot,189,100.0,72.0,31.0,25.0,21.0,29.0,-4.0,15.0,92.0,-0.0,6.71
teksturirani papir 300 g,600 dot,190,100.0,100.0,31.0,25.0,17.0,56.0,2.0,12.0,49.0,6.0,6.59
teksturirani papir 300 g,600 dot,191,0.0,0.0,72.0,25.0,62.0,9.0,-0.0,68.0,30.0,-2.0,7.68
teksturirani papir 300 g,600 dot,192,0.0,31.0,72.0,25.0,52.0,95.0,9.0,50.0,48.0,14.0,4.15
teksturirani papir 300 g,600 dot,193,0.0,72.0,72.0,25.0,41.0,53.0,27.0,38.0,19.0,37.0,5.15
teksturirani papir 300 g,600 dot,194,0.0,100.0,72.0,25.0,33.0,77.0,42.0,35.0,22.0,49.0,4.33
teksturirani papir 300 g,600 dot,195,21.0,0.0,72.0,25.0,56.0,1.0,-5.0,49.0,96.0,-3.0,6.52
teksturirani papir 300 g,600 dot,196,21.0,31.0,72.0,25.0,45.0,94.0,3.0,35.0,69.0,2.0,9.2
teksturirani papir 300 g,600 dot,197,21.0,72.0,72.0,25.0,34.0,81.0,20.0,25.0,88.0,21.0,7.54
teksturirani papir 300 g,600 dot,198,21.0,100.0,72.0,25.0,29.0,71.0,33.0,23.0,37.0,29.0,5.05
teksturirani papir 300 g,600 dot,199,52.0,0.0,72.0,25.0,47.0,22.0,-18.0,40.0,9.0,-23.0,6.96
teksturirani papir 300 g,600 dot,200,52.0,31.0,72.0,25.0,36.0,67.0,-5.0,30.0,45.0,-3.0,5.98
teksturirani papir 300 g,600 dot,201,52.0,72.0,72.0,25.0,27.0,88.0,9.0,19.0,13.0,9.0,6.36
teksturirani papir 300 g,600 dot,202,52.0,100.0,72.0,25.0,22.0,75.0,18.0,16.0,64.0,15.0,4.69
teksturirani papir 300 g,600 dot,203,81.0,0.0,72.0,25.0,39.0,79.0,-31.0,35.0,32.0,-33.0,4.28
teksturirani papir 300 g,600 dot,204,81.0,31.0,72.0,25.0,31.0,85.0,-17.0,22.0,76.0,-17.0,7.02
teksturirani papir 300 g,600 dot,205,81.0,72.0,72.0,25.0,19.0,65.0,-0.0,18.0,93.0,-0.0,0.58
teksturirani papir 300 g,600 dot,206,81.0,100.0,72.0,25.0,18.0,20.0,5.0,13.0,49.0,8.0,3.85
teksturirani papir 300 g,600 dot,207,100.0,0.0,72.0,25.0,35.0,89.0,-40.0,37.0,50.0,-45.0,5.36
teksturirani papir 300 g,600 dot,208,100.0,31.0,72.0,25.0,28.0,88.0,-25.0,23.0,32.0,-22.0,5.76
teksturirani papir 300 g,600 dot,209,100.0,72.0,72.0,25.0,19.0,58.0,-6.0,15.0,33.0,-5.0,3.07
teksturirani papir 300 g,600 dot,210,100.0,100.0,72.0,25.0,16.0,48.0,0.0,13.0,5.0,1.0,3.34
teksturirani papir 300 g,600 dot,211,0.0,0.0,100.0,25.0,61.0,29.0,-1.0,70.0,54.0,-1.0,8.04
teksturirani papir 300 g,600 dot,212,0.0,31.0,100.0,25.0,53.0,31.0,9.0,52.0,37.0,17.0,5.17
teksturirani papir 300 g,600 dot,213,0.0,72.0,100.0,25.0,41.0,43.0,28.0,39.0,16.0,39.0,6.55
teksturirani papir 300 g,600 dot,214,0.0,100.0,100.0,25.0,33.0,98.0,42.0,35.0,95.0,48.0,2.49
teksturirani papir 300 g,600 dot,215,21.0,0.0,100.0,25.0,55.0,82.0,-6.0,52.0,25.0,-3.0,4.06
teksturirani papir 300 g,600 dot,216,21.0,31.0,100.0,25.0,47.0,7.0,2.0,38.0,31.0,1.0,8.52
teksturirani papir 300 g,600 dot,217,21.0,72.0,100.0,25.0,36.0,59.0,21.0,26.0,83.0,22.0,9.59
teksturirani papir 300 g,600 dot,218,21.0,100.0,100.0,25.0,29.0,45.0,34.0,24.0,10.0,28.0,4.8
teksturirani papir 300 g,600 dot,219,52.0,0.0,100.0,25.0,45.0,91.0,-19.0,39.0,36.0,-23.0,7.35
teksturirani papir 300 g,600 dot,220,52.0,31.0,100.0,25.0,36.0,30.0,-6.0,30.0,14.0,-5.0,5.29
teksturirani papir 300 g,600 dot,221,52.0,72.0,100.0,25.0,26.0,5.0,8.0,19.0,66.0,9.0,6.06
teksturirani papir 300 g,600 dot,222,52.0,100.0,100.0,25.0,22.0,83.0,18.0,17.0,22.0,15.0,4.45
teksturirani papir 300 g,600 dot,223,81.0,0.0,100.0,25.0,39.0,14.0,-33.0,35.0,30.0,-34.0,3.83
teksturirani papir 300 g,600 dot,224,81.0,31.0,100.0,25.0,31.0,33.0,-19.0,23.0,47.0,-18.0,6.34
teksturirani papir 300 g,600 dot,225,81.0,72.0,100.0,25.0,21.0,73.0,-2.0,18.0,61.0,-2.0,3.19
teksturirani papir 300 g,600 dot,226,81.0,100.0,100.0,25.0,16.0,96.0,5.0,13.0,66.0,5.0,2.26
teksturirani papir 300 g,600 dot,227,100.0,0.0,100.0,25.0,35.0,48.0,-44.0,37.0,53.0,-46.0,2.62
teksturirani papir 300 g,600 dot,228,100.0,31.0,100.0,25.0,27.0,93.0,-28.0,22.0,8.0,-23.0,5.05
teksturirani papir 300 g,600 dot,229,100.0,72.0,100.0,25.0,19.0,3.0,-8.0,16.0,1.0,-8.0,2.74
teksturirani papir 300 g,600 dot,230,100.0,100.0,100.0,25.0,14.0,40.0,-0.0,16.0,88.0,-0.0,1.71
teksturirani papir 300 g,600 dot,231,0.0,0.0,0.0,60.0,35.0,72.0,-0.0,28.0,60.0,-0.0,5.67
teksturirani papir 300 g,600 dot,232,0.0,31.0,0.0,60.0,34.0,42.0,5.0,25.0,66.0,5.0,6.89
teksturirani papir 300 g,600 dot,233,0.0,72.0,0.0,60.0,27.0,7.0,16.0,18.0,34.0,15.0,6.31
teksturirani papir 300 g,600 dot,234,0.0,100.0,0.0,60.0,21.0,52.0,26.0,16.0,75.0,21.0,4.25
teksturirani papir 300 g,600 dot,235,31.0,0.0,0.0,60.0,34.0,28.0,-5.0,28.0,38.0,-5.0,5.1
teksturirani papir 300 g,600 dot,236,31.0,31.0,0.0,60.0,28.0,93.0,0.0,23.0,66.0,1.0,4.89
teksturirani papir 300 g,600 dot,237,31.0,72.0,0.0,60.0,22.0,59.0,11.0,18.0,99.0,12.0,2.95
teksturirani papir 300 g,600 dot,238,31.0,100.0,0.0,60.0,18.0,74.0,18.0,15.0,60.0,17.0,2.41
teksturirani papir 300 g,600 dot,239,72.0,0.0,0.0,60.0,27.0,93.0,-13.0,22.0,50.0,-11.0,4.44
teksturirani papir 300 g,600 dot,240,72.0,31.0,0.0,60.0,24.0,91.0,-6.0,17.0,38.0,-3.0,6.42
teksturirani papir 300 g,600 dot,241,72.0,72.0,0.0,60.0,18.0,31.0,2.0,12.0,83.0,5.0,5.61
teksturirani papir 300 g,600 dot,242,72.0,100.0,0.0,60.0,14.0,90.0,9.0,11.0,44.0,9.0,2.87
teksturirani papir 300 g,600 dot,243,100.0,0.0,0.0,60.0,24.0,32.0,-17.0,20.0,80.0,-13.0,4.26
teksturirani papir 300 g,600 dot,244,100.0,31.0,0.0,60.0,20.0,51.0,-10.0,16.0,24.0,-5.0,5.6
teksturirani papir 300 g,600 dot,245,100.0,72.0,0.0,60.0,15.0,94.0,-0.0,11.0,59.0,4.0,7.53
teksturirani papir 300 g,600 dot,246,100.0,100.0,0.0,60.0,14.0,55.0,3.0,10.0,61.0,7.0,6.42
teksturirani papir 300 g,600 dot,247,0.0,0.0,31.0,60.0,37.0,56.0,-1.0,31.0,22.0,-2.0,5.44
teksturirani papir 300 g,600 dot,248,0.0,31.0,31.0,60.0,31.0,57.0,4.0,24.0,55.0,4.0,5.38
teksturirani papir 300 g,600 dot,249,0.0,72.0,31.0,60.0,25.0,99.0,16.0,19.0,86.0,14.0,4.75
teksturirani papir 300 g,600 dot,250,0.0,100.0,31.0,60.0,21.0,52.0,24.0,16.0,94.0,19.0,4.57
teksturirani papir 300 g,600 dot,251,31.0,0.0,31.0,60.0,32.0,32.0,-5.0,27.0,37.0,-4.0,4.33
teksturirani papir 300 g,600 dot,252,31.0,31.0,31.0,60.0,26.0,66.0,0.0,24.0,70.0,-0.0,2.35
teksturirani papir 300 g,600 dot,253,31.0,72.0,31.0,60.0,22.0,21.0,10.0,17.0,50.0,11.0,3.52
teksturirani papir 300 g,600 dot,254,31.0,100.0,31.0,60.0,18.0,1.0,18.0,15.0,25.0,15.0,2.49
teksturirani papir 300 g,600 dot,255,72.0,0.0,31.0,60.0,26.0,58.0,-14.0,21.0,22.0,-12.0,4.39
teksturirani papir 300 g,600 dot,256,72.0,31.0,31.0,60.0,21.0,47.0,-7.0,19.0,81.0,-6.0,1.22
teksturirani papir 300 g,600 dot,257,72.0,72.0,31.0,60.0,16.0,43.0,2.0,12.0,86.0,4.0,3.84
teksturirani papir 300 g,600 dot,258,72.0,100.0,31.0,60.0,15.0,27.0,6.0,10.0,57.0,8.0,3.95
teksturirani papir 300 g,600 dot,259,100.0,0.0,31.0,60.0,23.0,34.0,-20.0,19.0,45.0,-16.0,6.05
teksturirani papir 300 g,600 dot,260,100.0,31.0,31.0,60.0,19.0,8.0,-11.0,15.0,83.0,-8.0,3.57
teksturirani papir 300 g,600 dot,261,100.0,72.0,31.0,60.0,14.0,37.0,-1.0,11.0,18.0,1.0,5.2
teksturirani papir 300 g,600 dot,262,100.0,100.0,31.0,60.0,12.0,36.0,2.0,10.0,40.0,5.0,4.41
teksturirani papir 300 g,600 dot,263,0.0,0.0,72.0,60.0,37.0,34.0,-2.0,30.0,95.0,-3.0,5.3
teksturirani papir 300 g,600 dot,264,0.0,31.0,72.0,60.0,32.0,9.0,4.0,23.0,23.0,5.0,7.41
teksturirani papir 300 g,600 dot,265,0.0,72.0,72.0,60.0,25.0,37.0,16.0,18.0,61.0,14.0,5.27
teksturirani papir 300 g,600 dot,266,0.0,100.0,72.0,60.0,21.0,59.0,22.0,16.0,64.0,17.0,4.37
teksturirani papir 300 g,600 dot,267,31.0,0.0,72.0,60.0,32.0,29.0,-7.0,26.0,61.0,-6.0,4.48
teksturirani papir 300 g,600 dot,268,31.0,31.0,72.0,60.0,27.0,11.0,-1.0,23.0,45.0,-2.0,3.2
teksturirani papir 300 g,600 dot,269,31.0,72.0,72.0,60.0,21.0,68.0,9.0,17.0,0.0,9.0,3.3
teksturirani papir 300 g,600 dot,270,31.0,100.0,72.0,60.0,17.0,58.0,15.0,15.0,19.0,12.0,3.11
teksturirani papir 300 g,600 dot,271,72.0,0.0,72.0,60.0,24.0,79.0,-16.0,20.0,4.0,-15.0,3.56
teksturirani papir 300 g,600 dot,272,72.0,31.0,72.0,60.0,20.0,83.0,-9.0,17.0,23.0,-9.0,2.85
teksturirani papir 300 g,600 dot,273,72.0,72.0,72.0,60.0,16.0,35.0,0.0,15.0,72.0,1.0,1.0
teksturirani papir 300 g,600 dot,274,72.0,100.0,72.0,60.0,13.0,69.0,5.0,12.0,40.0,6.0,1.7
teksturirani papir 300 g,600 dot,275,100.0,0.0,72.0,60.0,20.0,98.0,-22.0,18.0,61.0,-17.0,3.93
teksturirani papir 300 g,600 dot,276,100.0,31.0,72.0,60.0,17.0,67.0,-13.0,16.0,11.0,-12.0,2.92
teksturirani papir 300 g,600 dot,277,100.0,72.0,72.0,60.0,13.0,71.0,-3.0,13.0,17.0,-3.0,1.31
teksturirani papir 300 g,600 dot,278,100.0,100.0,72.0,60.0,11.0,79.0,0.0,11.0,33.0,2.0,1.99
teksturirani papir 300 g,600 dot,279,0.0,0.0,100.0,60.0,36.0,73.0,-3.0,29.0,99.0,-3.0,6.12
teksturirani papir 300 g,600 dot,280,0.0,31.0,100.0,60.0,30.0,35.0,2.0,23.0,55.0,3.0,7.09
teksturirani papir 300 g,600 dot,281,0.0,72.0,100.0,60.0,26.0,62.0,13.0,18.0,82.0,12.0,7.02
teksturirani papir 300 g,600 dot,282,0.0,100.0,100.0,60.0,21.0,59.0,21.0,17.0,61.0,15.0,4.57
teksturirani papir 300 g,600 dot,283,31.0,0.0,100.0,60.0,32.0,71.0,-8.0,26.0,46.0,-8.0,5.63
teksturirani papir 300 g,600 dot,284,31.0,31.0,100.0,60.0,27.0,46.0,-1.0,23.0,2.0,-3.0,4.29
teksturirani papir 300 g,600 dot,285,31.0,72.0,100.0,60.0,20.0,77.0,8.0,16.0,62.0,7.0,3.56
teksturirani papir 300 g,600 dot,286,31.0,100.0,100.0,60.0,17.0,97.0,14.0,16.0,1.0,11.0,3.17
teksturirani papir 300 g,600 dot,287,72.0,0.0,100.0,60.0,24.0,79.0,-18.0,20.0,20.0,-16.0,3.92
teksturirani papir 300 g,600 dot,288,72.0,31.0,100.0,60.0,20.0,29.0,-10.0,17.0,33.0,-10.0,2.45
teksturirani papir 300 g,600 dot,289,72.0,72.0,100.0,60.0,16.0,30.0,-0.0,15.0,12.0,-0.0,1.07
teksturirani papir 300 g,600 dot,290,72.0,100.0,100.0,60.0,14.0,51.0,3.0,12.0,14.0,4.0,2.13
teksturirani papir 300 g,600 dot,291,100.0,0.0,100.0,60.0,21.0,82.0,-23.0,18.0,24.0,-18.0,3.58
teksturirani papir 300 g,600 dot,292,100.0,31.0,100.0,60.0,18.0,84.0,-14.0,16.0,16.0,-13.0,2.34
teksturirani papir 300 g,600 dot,293,100.0,72.0,100.0,60.0,14.0,83.0,-4.0,13.0,55.0,-6.0,2.98
teksturirani papir 300 g,600 dot,294,100.0,100.0,100.0,60.0,12.0,22.0,-0.0,13.0,29.0,-0.0,1.62
teksturirani papir 300 g,600 dot,295,0.0,0.0,0.0,88.0,20.0,3.0,-0.0,18.0,77.0,-0.0,0.89
teksturirani papir 300 g,600 dot,296,0.0,52.0,0.0,88.0,17.0,4.0,4.0,14.0,28.0,6.0,2.72
teksturirani papir 300 g,600 dot,297,0.0,100.0,0.0,88.0,14.0,47.0,10.0,11.0,97.0,11.0,1.84
teksturirani papir 300 g,600 dot,298,31.0,0.0,0.0,88.0,17.0,69.0,-2.0,17.0,23.0,-2.0,0.33
teksturirani papir 300 g,600 dot,299,31.0,52.0,0.0,88.0,15.0,64.0,2.0,11.0,86.0,5.0,3.68
teksturirani papir 300 g,600 dot,300,31.0,100.0,0.0,88.0,12.0,81.0,8.0,11.0,29.0,9.0,1.45
teksturirani papir 300 g,600 dot,301,72.0,0.0,0.0,88.0,15.0,16.0,-4.0,13.0,44.0,-3.0,1.77
teksturirani papir 300 g,600 dot,302,72.0,52.0,0.0,88.0,12.0,52.0,0.0,10.0,28.0,3.0,4.38
teksturirani papir 300 g,600 dot,303,72.0,100.0,0.0,88.0,11.0,89.0,4.0,10.0,3.0,6.0,2.86
teksturirani papir 300 g,600 dot,304,100.0,0.0,0.0,88.0,13.0,59.0,-4.0,12.0,96.0,-2.0,2.24
teksturirani papir 300 g,600 dot,305,100.0,52.0,0.0,88.0,12.0,23.0,-0.0,10.0,88.0,2.0,4.11
teksturirani papir 300 g,600 dot,306,100.0,100.0,0.0,88.0,12.0,35.0,2.0,9.0,40.0,5.0,4.59
teksturirani papir 300 g,600 dot,307,0.0,0.0,52.0,88.0,20.0,65.0,-1.0,19.0,48.0,-2.0,2.33
teksturirani papir 300 g,600 dot,308,0.0,52.0,52.0,88.0,16.0,51.0,3.0,14.0,16.0,4.0,1.84
teksturirani papir 300 g,600 dot,309,0.0,100.0,52.0,88.0,14.0,4.0,9.0,13.0,33.0,7.0,1.74
teksturirani papir 300 g,600 dot,310,31.0,0.0,52.0,88.0,18.0,52.0,-3.0,16.0,23.0,-4.0,2.41
teksturirani papir 300 g,600 dot,311,31.0,52.0,52.0,88.0,14.0,46.0,1.0,14.0,2.0,2.0,2.26
teksturirani papir 300 g,600 dot,312,31.0,100.0,52.0,88.0,13.0,92.0,5.0,12.0,29.0,6.0,2.32
teksturirani papir 300 g,600 dot,313,72.0,0.0,52.0,88.0,15.0,74.0,-6.0,14.0,30.0,-6.0,2.58
teksturirani papir 300 g,600 dot,314,72.0,52.0,52.0,88.0,11.0,80.0,-0.0,12.0,80.0,-1.0,1.37
teksturirani papir 300 g,600 dot,315,72.0,100.0,52.0,88.0,10.0,62.0,2.0,10.0,67.0,4.0,2.01
teksturirani papir 300 g,600 dot,316,100.0,0.0,52.0,88.0,14.0,10.0,-7.0,13.0,52.0,-7.0,3.09
teksturirani papir 300 g,600 dot,317,100.0,52.0,52.0,88.0,11.0,68.0,-1.0,11.0,83.0,-3.0,2.49
teksturirani papir 300 g,600 dot,318,100.0,100.0,52.0,88.0,11.0,87.0,0.0,10.0,24.0,2.0,2.6
teksturirani papir 300 g,600 dot,319,0.0,0.0,100.0,88.0,21.0,17.0,-3.0,19.0,71.0,-4.0,1.65
teksturirani papir 300 g,600 dot,320,0.0,52.0,100.0,88.0,16.0,28.0,1.0,14.0,68.0,2.0,1.87
teksturirani papir 300 g,600 dot,321,0.0,100.0,100.0,88.0,14.0,80.0,6.0,13.0,58.0,6.0,1.14
teksturirani papir 300 g,600 dot,322,31.0,0.0,100.0,88.0,18.0,9.0,-4.0,17.0,55.0,-4.0,0.4
teksturirani papir 300 g,600 dot,323,31.0,52.0,100.0,88.0,15.0,85.0,0.0,14.0,84.0,0.0,0.93
teksturirani papir 300 g,600 dot,324,31.0,100.0,100.0,88.0,14.0,54.0,3.0,13.0,7.0,4.0,1.21
teksturirani papir 300 g,600 dot,325,72.0,0.0,100.0,88.0,15.0,56.0,-8.0,14.0,76.0,-8.0,0.64
teksturirani papir 300 g,600 dot,326,72.0,52.0,100.0,88.0,13.0,63.0,-2.0,13.0,71.0,-4.0,3.08
teksturirani papir 300 g,600 dot,327,72.0,100.0,100.0,88.0,11.0,90.0,1.0,11.0,91.0,2.0,2.05
teksturirani papir 300 g,600 dot,328,100.0,0.0,100.0,88.0,14.0,21.0,-8.0,13.0,79.0,-9.0,1.5
teksturirani papir 300 g,600 dot,329,100.0,52.0,100.0,88.0,10.0,92.0,-2.0,12.0,95.0,-5.0,4.23
teksturirani papir 300 g,600 dot,330,100.0,100.0,100.0,88.0,12.0,89.0,-0.0,12.0,75.0,-1.0,1.36
teksturirani papir 300 g,600 dot,331,0.0,0.0,0.0,100.0,15.0,15.0,-0.0,15.0,33.0,-0.0,0.14
teksturirani papir 300 g,600 dot,332,0.0,52.0,0.0,100.0,11.0,45.0,2.0,10.0,75.0,4.0,2.82
teksturirani papir 300 g,600 dot,333,0.0,100.0,0.0,100.0,11.0,34.0,4.0,11.0,7.0,6.0,2.68
teksturirani papir 300 g,600 dot,334,52.0,0.0,0.0,100.0,11.0,17.0,-0.0,11.0,80.0,-0.0,0.93
teksturirani papir 300 g,600 dot,335,52.0,52.0,0.0,100.0,10.0,79.0,1.0,11.0,43.0,2.0,1.7
teksturirani papir 300 g,600 dot,336,52.0,100.0,0.0,100.0,10.0,24.0,3.0,10.0,7.0,5.0,2.31
teksturirani papir 300 g,600 dot,337,100.0,0.0,0.0,100.0,12.0,39.0,-1.0,12.0,11.0,-2.0,1.1
teksturirani papir 300 g,600 dot,338,100.0,52.0,0.0,100.0,11.0,33.0,0.0,10.0,22.0,1.0,1.61
teksturirani papir 300 g,600 dot,339,100.0,100.0,0.0,100.0,10.0,98.0,2.0,10.0,69.0,3.0,2.17
teksturirani papir 300 g,600 dot,340,0.0,0.0,52.0,100.0,14.0,19.0,-1.0,14.0,71.0,-1.0,2.16
teksturirani papir 300 g,600 dot,341,0.0,52.0,52.0,100.0,12.0,55.0,1.0,11.0,74.0,2.0,2.28
teksturirani papir 300 g,600 dot,342,0.0,100.0,52.0,100.0,10.0,92.0,2.0,11.0,80.0,4.0,2.15
teksturirani papir 300 g,600 dot,343,52.0,0.0,52.0,100.0,11.0,59.0,-1.0,12.0,49.0,-4.0,3.54
teksturirani papir 300 g,600 dot,344,52.0,52.0,52.0,100.0,12.0,58.0,0.0,14.0,58.0,-0.0,1.54
teksturirani papir 300 g,600 dot,345,52.0,100.0,52.0,100.0,11.0,51.0,1.0,11.0,12.0,3.0,1.74
teksturirani papir 300 g,600 dot,346,100.0,0.0,52.0,100.0,11.0,9.0,-2.0,12.0,13.0,-4.0,3.14
teksturirani papir 300 g,600 dot,347,100.0,52.0,52.0,100.0,11.0,49.0,-1.0,12.0,32.0,-2.0,1.51
teksturirani papir 300 g,600 dot,348,100.0,100.0,52.0,100.0,12.0,21.0,0.0,13.0,29.0,1.0,1.3
teksturirani papir 300 g,600 dot,349,0.0,0.0,100.0,100.0,13.0,84.0,-2.0,15.0,90.0,-2.0,2.3
teksturirani papir 300 g,600 dot,350,0.0,52.0,100.0,100.0,13.0,75.0,0.0,13.0,65.0,1.0,2.1
teksturirani papir 300 g,600 dot,351,0.0,100.0,100.0,100.0,12.0,78.0,1.0,12.0,49.0,3.0,2.1
teksturirani papir 300 g,600 dot,352,52.0,0.0,100.0,100.0,12.0,96.0,-3.0,13.0,44.0,-6.0,3.25
teksturirani papir 300 g,600 dot,353,52.0,52.0,100.0,100.0,14.0,17.0,-0.0,12.0,67.0,-1.0,2.21
teksturirani papir 300 g,600 dot,354,52.0,100.0,100.0,100.0,12.0,89.0,0.0,12.0,10.0,2.0,2.06
teksturirani papir 300 g,600 dot,355,100.0,0.0,100.0,100.0,11.0,79.0,-4.0,12.0,82.0,-6.0,3.2
teksturirani papir 300 g,600 dot,356,100.0,52.0,100.0,100.0,10.0,75.0,-1.0,12.0,46.0,-3.0,2.83
teksturirani papir 300 g,600 dot,357,100.0,100.0,100.0,100.0,12.0,32.0,-0.0,12.0,51.0,-0.0,0.94
teksturirani papir 300 g,600 dot,358,5.0,0.0,0.0,0.0,83.0,89.0,0.0,84.0,73.0,2.0,2.92
teksturirani papir 300 g,600 dot,359,28.0,0.0,0.0,0.0,75.0,87.0,-8.0,77.0,15.0,-9.0,1.16
teksturirani papir 300 g,600 dot,360,95.0,0.0,0.0,0.0,50.0,5.0,-35.0,50.0,73.0,-35.0,0.72
teksturirani papir 300 g,600 dot,361,0.0,4.0,0.0,0.0,84.0,26.0,2.0,84.0,80.0,2.0,0.36
teksturirani papir 300 g,600 dot,362,0.0,11.0,0.0,0.0,80.0,98.0,3.0,85.0,28.0,2.0,3.69
teksturirani papir 300 g,600 dot,363,0.0,93.0,0.0,0.0,46.0,50.0,54.0,45.0,52.0,60.0,1.83
teksturirani papir 300 g,600 dot,364,0.0,0.0,4.0,0.0,85.0,32.0,2.0,85.0,54.0,2.0,0.22
teksturirani papir 300 g,600 dot,365,0.0,0.0,11.0,0.0,85.0,14.0,1.0,85.0,47.0,2.0,3.24
teksturirani papir 300 g,600 dot,366,0.0,0.0,93.0,0.0,82.0,15.0,-0.0,82.0,58.0,-1.0,1.29
teksturirani papir 300 g,600 dot,367,0.0,0.0,0.0,4.0,80.0,66.0,1.0,85.0,4.0,2.0,3.09
teksturirani papir 300 g,600 dot,368,0.0,0.0,0.0,13.0,72.0,68.0,1.0,83.0,58.0,2.0,7.83
teksturirani papir 300 g,600 dot,369,0.0,0.0,0.0,95.0,15.0,78.0,-0.0,17.0,18.0,-0.0,0.96
teksturirani papir 300 g,600 dot,370,9.0,7.0,7.0,0.0,77.0,80.0,0.0,84.0,84.0,2.0,5.23
teksturirani papir 300 g,600 dot,371,19.0,15.0,15.0,0.0,67.0,24.0,0.0,77.0,89.0,1.0,8.21
teksturirani papir 300 g,600 dot,372,29.0,23.0,23.0,0.0,58.0,14.0,0.0,51.0,92.0,-0.0,5.91
teksturirani papir 300 g,600 dot,373,39.0,31.0,31.0,0.0,48.0,89.0,-0.0,39.0,88.0,-0.0,8.46
teksturirani papir 300 g,600 dot,374,49.0,39.0,39.0,4.0,39.0,3.0,-0.0,31.0,64.0,-0.0,6.12
teksturirani papir 300 g,600 dot,375,59.0,47.0,47.0,16.0,29.0,62.0,-1.0,26.0,75.0,-0.0,2.51
teksturirani papir 300 g,600 dot,376,69.0,55.0,55.0,31.0,24.0,92.0,-1.0,23.0,66.0,-0.0,1.67
teksturirani papir 300 g,600 dot,377,79.0,63.0,63.0,48.0,19.0,99.0,-2.0,18.0,84.0,-2.0,0.96
teksturirani papir 300 g,600 dot,378,89.0,71.0,71.0,72.0,15.0,21.0,-1.0,15.0,31.0,-2.0,1.58
teksturirani papir 300 g,600 dot,379,99.0,79.0,79.0,100.0,13.0,60.0,-0.0,13.0,25.0,-1.0,1.21
teksturirani papir 300 g,600 dot,380,9.0,7.0,7.0,0.0,77.0,50.0,1.0,84.0,82.0,2.0,5.28
teksturirani papir 300 g,600 dot,381,18.0,14.0,14.0,0.0,69.0,68.0,0.0,79.0,89.0,1.0,7.73
teksturirani papir 300 g,600 dot,382,27.0,21.0,21.0,0.0,60.0,54.0,0.0,55.0,4.0,0.0,5.0
